Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Oct-22,17102.1,17114.65,16855.55,16887.35,285850587,21860.54
04-Oct-22,17147.45,17287.3,17117.3,17274.3,231601639,18480.43
06-Oct-22,17379.25,17428.8,17315.65,17331.8,268239320,20404.46
07-Oct-22,17287.2,17337.35,17216.95,17314.65,216273136,17043.26
10-Oct-22,17094.35,17280.15,17064.7,17241,234005512,16220.67
11-Oct-22,17256.05,17261.8,16950.3,16983.55,282617982,22178.37
12-Oct-22,17025.55,17142.35,16960.05,17123.6,256037322,18098.41
13-Oct-22,17087.35,17112.35,16956.95,17014.35,266438674,18189.64
14-Oct-22,17322.3,17348.55,17169.75,17185.7,226997138,17813.47
17-Oct-22,17144.8,17328.55,17098.55,17311.8,212223419,16887.83
18-Oct-22,17438.75,17527.8,17434.05,17486.95,239493630,18224.95
19-Oct-22,17568.15,17607.6,17472.85,17512.25,210480869,17200.79
20-Oct-22,17423.1,17584.15,17421,17563.95,249604832,18345.6
21-Oct-22,17622.85,17670.15,17520.75,17576.3,277702680,23547.38
24-Oct-22,17736.35,17777.55,17707.4,17730.75,45029477,3772.49
25-Oct-22,17808.3,17811.5,17637,17656.35,251358203,20338.32
27-Oct-22,17771.4,17783.9,17654.5,17736.95,324649088,24166.3
28-Oct-22,17756.4,17838.9,17723.7,17786.8,250030113,19099.59
31-Oct-22,17910.2,18022.8,17899.9,18012.2,227174539,19846.47
01-Nov-22,18130.7,18175.8,18060.15,18145.4,349924808,26796.59
02-Nov-22,18177.9,18178.75,18048.65,18082.85,270878019,20072.62
03-Nov-22,17968.35,18106.3,17959.2,18052.7,212968291,16037.78
04-Nov-22,18053.4,18135.1,18017.15,18117.15,267941526,21062.54
07-Nov-22,18211.75,18255.5,18064.75,18202.8,314758398,25124.84
09-Nov-22,18288.25,18296.4,18117.5,18157,307155149,23344.58
10-Nov-22,18044.35,18103.1,17969.4,18028.2,256451785,19848.06
11-Nov-22,18272.35,18362.3,18259.35,18349.7,378469072,30732.11
14-Nov-22,18376.4,18399.45,18311.4,18329.15,301401961,21697.66
15-Nov-22,18362.75,18427.95,18282,18403.4,250926391,17836.19
