"Date","Open","High","Low","Close"
"13 Jan 2023","8521.95","8562.70","8477.35","8549.50"
"12 Jan 2023","8541.05","8550.70","8470.40","8512.35"
"11 Jan 2023","8547.65","8565.95","8500.45","8524.95"
"10 Jan 2023","8617.55","8618.95","8502.65","8537.50"
"09 Jan 2023","8558.35","8619.25","8554.85","8606.25"
"06 Jan 2023","8581.15","8590.95","8479.50","8508.65"
"05 Jan 2023","8605.80","8614.60","8516.75","8572.45"
"04 Jan 2023","8671.05","8677.45","8566.35","8575.95"
"03 Jan 2023","8644.25","8677.30","8635.80","8667.55"
"02 Jan 2023","8622.55","8654.95","8596.55","8647.85"
"30 Dec 2022","8663.10","8678.00","8591.50","8604.40"
"29 Dec 2022","8558.40","8639.75","8523.45","8622.10"
"28 Dec 2022","8568.95","8612.55","8553.30","8592.85"
"27 Dec 2022","8558.35","8592.15","8504.45","8583.75"
"26 Dec 2022","8378.05","8543.00","8336.10","8514.50"
"23 Dec 2022","8515.15","8541.80","8355.00","8370.05"
"22 Dec 2022","8685.85","8706.80","8553.75","8588.35"
"21 Dec 2022","8787.10","8808.90","8628.90","8645.75"
"20 Dec 2022","8748.60","8768.40","8680.35","8760.65"
"19 Dec 2022","8723.20","8780.90","8693.90","8776.15"
"16 Dec 2022","8752.90","8802.20","8703.65","8710.15"
"15 Dec 2022","8878.30","8895.30","8779.00","8792.65"
"14 Dec 2022","8888.45","8905.65","8881.15","8892.10"
"13 Dec 2022","8836.25","8863.65","8818.20","8858.45"
"12 Dec 2022","8777.20","8820.70","8737.20","8815.95"
"09 Dec 2022","8892.00","8893.75","8758.20","8805.75"
"08 Dec 2022","8846.05","8866.20","8834.20","8861.85"
"07 Dec 2022","8874.35","8885.75","8819.95","8834.45"
"06 Dec 2022","8859.20","8877.50","8846.35","8868.75"
"05 Dec 2022","8908.35","8911.00","8846.95","8893.45"
"02 Dec 2022","8896.00","8903.30","8859.65","8889.95"
"01 Dec 2022","8929.90","8930.90","8892.30","8909.90"
"30 Nov 2022","8811.40","8901.70","8808.15","8877.00"
"29 Nov 2022","8788.70","8828.55","8787.50","8802.50"
"28 Nov 2022","8732.75","8806.05","8710.40","8787.80"
"25 Nov 2022","8750.95","8764.60","8723.15","8755.75"
"24 Nov 2022","8679.10","8742.80","8668.10","8728.90"
"23 Nov 2022","8668.90","8669.00","8640.85","8650.75"
"22 Nov 2022","8614.70","8638.35","8594.75","8633.45"
"21 Nov 2022","8638.10","8642.80","8591.75","8603.80"
"18 Nov 2022","8704.30","8710.30","8614.50","8657.35"
