iter	MultiClass
0	0.9959553231
1	0.8977898571
2	0.8160207803
3	0.7441595491
4	0.6808457802
5	0.6362249341
6	0.5885693969
7	0.5412564645
8	0.5019258682
9	0.4720112464
10	0.4397674417
11	0.4144347841
12	0.3888011668
13	0.3692951785
14	0.3481667902
15	0.3291734634
16	0.311455226
17	0.29904112
18	0.2831759042
19	0.2701351266
20	0.2581926645
21	0.2498921198
22	0.2395829119
23	0.2308930762
24	0.2197351032
25	0.2136478191
26	0.2059910764
27	0.2005969778
28	0.1948888474
29	0.1888013702
30	0.1815137057
31	0.1746281474
32	0.1681572569
33	0.1635643651
34	0.1586531226
35	0.1542232774
36	0.1503564281
37	0.1466607504
38	0.142913747
39	0.1396280019
40	0.1368109695
41	0.1339720205
42	0.130922501
43	0.1279743334
44	0.1249657572
45	0.1226899852
46	0.1205100236
47	0.1179813267
48	0.116279978
49	0.1131926602
