iter	Passed	Remaining
0	145	7123
1	148	3569
2	150	2364
3	153	1762
4	155	1397
5	158	1159
6	159	980
7	160	843
8	161	736
9	163	652
10	164	583
11	165	524
12	166	475
13	168	432
14	169	396
15	171	363
16	172	335
17	174	309
18	175	286
19	176	265
20	178	246
21	179	228
22	180	212
23	182	197
24	183	183
25	185	170
26	186	158
27	187	147
28	188	136
29	189	126
30	190	116
31	191	107
32	191	98
33	192	90
34	194	83
35	195	75
36	196	69
37	197	62
38	199	56
39	200	50
40	201	44
41	202	38
42	203	33
43	205	27
44	206	22
45	207	18
46	208	13
47	210	8
48	211	4
49	212	0
